,state,case_count
0,Alabama,61
0,Alaska,62
0,Arizona,2063
0,Arkansas,105
0,California,2906
0,Colorado,84
0,Connecticut,44
0,Delaware,29
0,District of Columbia,32
0,Florida,904
0,Georgia,255
0,Guam,3
0,Hawaii,69
0,Idaho,22
0,Illinois,226
0,Indiana,58
0,Iowa,14
0,Kansas,26
0,Kentucky,76
0,Louisiana,149
0,Maine,28
0,Maryland,340
0,Massachusetts,200
0,Michigan,341
0,Minnesota,48
0,Mississippi,62
0,Missouri,117
0,Montana,16
0,Nebraska,5
0,Nevada,316
0,New Hampshire,7
0,New Jersey,456
0,New Mexico,152
0,New York,1462
0,North Carolina,158
0,North Dakota,4
0,Northern Mariana Islands,0
0,Ohio,108
0,Oklahoma,115
0,Oregon,143
0,Pennsylvania,319
0,Puerto Rico,353
0,Rhode Island,25
0,South Carolina,76
0,South Dakota,3
0,Tennessee,116
0,Texas,2011
0,Utah,49
0,Vermont,7
0,Virgin Islands,2
0,Virginia,216
0,Washington,160
0,West Virginia,32
0,Wisconsin,49
0,Wyoming,6
