,state,case_count
0,Alabama,192
0,Alaska,1
0,Arizona,176
0,Arkansas,19
0,California,2824
0,Colorado,187
0,Connecticut,393
0,Delaware,4
0,District of Columbia,186
0,Florida,95
0,Georgia,304
0,Guam,0
0,Hawaii,515
0,Idaho,270
0,Illinois,71
0,Indiana,13
0,Iowa,13
0,Kansas,1
0,Kentucky,3
0,Louisiana,15
0,Maine,0
0,Maryland,3
0,Massachusetts,619
0,Michigan,193
0,Minnesota,0
0,Mississippi,1
0,Missouri,33
0,Montana,0
0,Nebraska,0
0,Nevada,347
0,New Hampshire,2
0,New Jersey,170
0,New Mexico,7
0,New York,6171
0,North Carolina,51
0,North Dakota,0
0,Northern Mariana Islands,0
0,Ohio,127
0,Oklahoma,135
0,Oregon,56
0,Pennsylvania,112
0,Puerto Rico,0
0,Rhode Island,0
0,South Carolina,73
0,South Dakota,0
0,Tennessee,672
0,Texas,954
0,Utah,31
0,Vermont,0
0,Virgin Islands,0
0,Virginia,0
0,Washington,1605
0,West Virginia,68
0,Wisconsin,34
0,Wyoming,8
