,state,case_count
0,Alabama,290
0,Alaska,1298
0,Arizona,1073
0,Arkansas,372
0,California,3567
0,Colorado,373
0,Connecticut,216
0,Delaware,62
0,District of Columbia,51
0,Florida,2426
0,Georgia,428
0,Guam,4
0,Hawaii,254
0,Idaho,128
0,Illinois,462
0,Indiana,234
0,Iowa,110
0,Kansas,125
0,Kentucky,359
0,Louisiana,515
0,Maine,149
0,Maryland,224
0,Massachusetts,214
0,Michigan,592
0,Minnesota,201
0,Mississippi,193
0,Missouri,459
0,Montana,107
0,Nebraska,89
0,Nevada,221
0,New Hampshire,57
0,New Jersey,413
0,New Mexico,252
0,New York,1040
0,North Carolina,628
0,North Dakota,37
0,Northern Mariana Islands,2
0,Ohio,414
0,Oklahoma,682
0,Oregon,552
0,Pennsylvania,511
0,Puerto Rico,25
0,Rhode Island,32
0,South Carolina,282
0,South Dakota,37
0,Tennessee,907
0,Texas,2725
0,Utah,152
0,Vermont,55
0,Virgin Islands,16
0,Virginia,352
0,Washington,901
0,West Virginia,142
0,Wisconsin,218
0,Wyoming,59
